Année,Produits de base,Offre et utilisation,VALEUR
1960,Farine de blé,Total des ressources,1934.34
1960,Farine de blé,Stocks au début,87.07
1960,Farine de blé,Production,1847.19
1960,Farine de blé,Importations,0.08
1960,Farine de blé,Total utilisations,1842.27
1960,Farine de blé,Disparition intérieure exprimée,1060.01
1960,Farine de blé,Exportations,715.56
1960,Farine de blé,Utilisation industrielle,45.07
1960,Farine de blé,Pertes,21.63
1960,Farine de blé,Stocks à la fin,92.07
1960,Farine de seigle,Total des ressources,8.6
1960,Farine de seigle,Stocks au début,0.38
1960,Farine de seigle,Production,7.88
1960,Farine de seigle,Importations,0.34
1960,Farine de seigle,Total utilisations,8.36
1960,Farine de seigle,Disparition intérieure exprimée,8.19
1960,Farine de seigle,Pertes,0.17
1960,Farine de seigle,Stocks à la fin,0.24
1960,Farine d'avoine et avoine roulée,Total des ressources,44.07
1960,Farine d'avoine et avoine roulée,Stocks au début,1.69
1960,Farine d'avoine et avoine roulée,Production,42.38
1960,Farine d'avoine et avoine roulée,Total utilisations,42.52
1960,Farine d'avoine et avoine roulée,Disparition intérieure exprimée,38.43
1960,Farine d'avoine et avoine roulée,Exportations,3.31
1960,Farine d'avoine et avoine roulée,Pertes,0.78
1960,Farine d'avoine et avoine roulée,Stocks à la fin,1.55
1960,Orge mondé et orge perlé,Total des ressources,1.67
1960,Orge mondé et orge perlé,Stocks au début,0.11
1960,Orge mondé et orge perlé,Production,1.56
1960,Orge mondé et orge perlé,Total utilisations,1.6
1960,Orge mondé et orge perlé,Disparition intérieure exprimée,1.57
1960,Orge mondé et orge perlé,Exportations,0.01
1960,Orge mondé et orge perlé,Pertes,0.02
1960,Orge mondé et orge perlé,Stocks à la fin,0.07
1960,Farine et semoule de maïs,Total des ressources,16.41
1960,Farine et semoule de maïs,Stocks au début,0.25
1960,Farine et semoule de maïs,Production,9
1960,Farine et semoule de maïs,Importations,7.16
1960,Farine et semoule de maïs,Total utilisations,16.13
1960,Farine et semoule de maïs,Disparition intérieure exprimée,13.35
1960,Farine et semoule de maïs,Exportations,2.51
1960,Farine et semoule de maïs,Pertes,0.27
1960,Farine et semoule de maïs,Stocks à la fin,0.28
1960,Riz,Total des ressources,37.81
1960,Riz,Importations,37.81
1960,Riz,Total utilisations,37.81
1960,Riz,Disparition intérieure exprimée,35.9
1960,Riz,Exportations,1.53
1960,Riz,Pertes,0.38
1960,Céréales pour le déjeuner,Total des ressources,54.7
1960,Céréales pour le déjeuner,Production,54.7
1960,Céréales pour le déjeuner,Total utilisations,54.7
1960,Céréales pour le déjeuner,Disparition intérieure exprimée,54.7
1960,Sucre raffiné,Total des ressources,960.35
1960,Sucre raffiné,Stocks au début,156.14
1960,Sucre raffiné,Production,803.94
1960,Sucre raffiné,Importations,0.27
1960,Sucre raffiné,Total utilisations,774.4
1960,Sucre raffiné,Disparition intérieure exprimée,764.14
1960,Sucre raffiné,Exportations,3.46
1960,Sucre raffiné,Utilisation industrielle,6.8
1960,Sucre raffiné,Stocks à la fin,185.95
1960,Sucre d'érable,Total des ressources,11.59
1960,Sucre d'érable,Production,11.59
1960,Sucre d'érable,Total utilisations,11.59
1960,Sucre d'érable,Disparition intérieure exprimée,5.36
1960,Sucre d'érable,Exportations,6.23
1960,Miel,Total des ressources,21.92
1960,Miel,Stocks au début,6.09
1960,Miel,Production,14.62
1960,Miel,Importations,1.21
1960,Miel,Total utilisations,15.56
1960,Miel,Disparition intérieure exprimée,14.35
1960,Miel,Exportations,1.21
1960,Miel,Stocks à la fin,6.36
1960,Haricots secs,Total des ressources,30.99
1960,Haricots secs,Production,27.05
1960,Haricots secs,Importations,3.94
1960,Haricots secs,Total utilisations,30.99
1960,Haricots secs,Disparition intérieure exprimée,12.56
1960,Haricots secs,Exportations,1.52
1960,Haricots secs,Utilisation industrielle,16.37
1960,Haricots secs,Pertes,0.54
1960,Fèves au lard et en conserve,Total des ressources,51.66
1960,Fèves au lard et en conserve,Production,49.83
1960,Fèves au lard et en conserve,Importations,1.83
1960,Fèves au lard et en conserve,Total utilisations,51.66
1960,Fèves au lard et en conserve,Disparition intérieure exprimée,51.66
1960,Pois secs,Total des ressources,35.03
1960,Pois secs,Production,30.45
1960,Pois secs,Importations,4.58
1960,Pois secs,Total utilisations,21.52
1960,Pois secs,Disparition intérieure exprimée,13.51
1960,Pois secs,Exportations,6.53
1960,Pois secs,Utilisation industrielle,14.38
1960,Pois secs,Pertes,0.61
1960,Arachides,Total des ressources,36.56
1960,Arachides,Importations,36.56
1960,Arachides,Total utilisations,36.56
1960,Arachides,Disparition intérieure exprimée,36.56
1960,Noix,Total des ressources,10.15
1960,Noix,Importations,10.15
1960,Noix,Total utilisations,10.15
1960,Noix,Disparition intérieure exprimée,10
1960,Noix,Exportations,0.15
1960,Thé,Total des ressources,19.86
1960,Thé,Importations,19.86
1960,Thé,Total utilisations,19.86
1960,Thé,Disparition intérieure exprimée,19.46
1960,Thé,Exportations,0.4
1960,Café,Total des ressources,67.98
1960,Café,Importations,67.98
1960,Café,Total utilisations,67.98
1960,Café,Disparition intérieure exprimée,67.88
1960,Café,Exportations,0.1
1960,Cacao,Total des ressources,27.79
1960,Cacao,Stocks au début,2.28
1960,Cacao,Importations,25.51
1960,Cacao,Total utilisations,23.21
1960,Cacao,Disparition intérieure exprimée,23.21
1960,Cacao,Stocks à la fin,4.58
1960,"Ale, bière, stout et porter",Total utilisations,
1960,"Ale, bière, stout et porter",Disparition intérieure exprimée,1070.44
1960,Spiritueux,Total utilisations,
1960,Spiritueux,Disparition intérieure exprimée,67.04
1960,Vins,Total utilisations,
1960,Vins,Disparition intérieure exprimée,37.74
1960,Boissons gazeuses,Total utilisations,
1960,Fromage cheddar,Total des ressources,73.89
1960,Fromage cheddar,Stocks au début,23.83
1960,Fromage cheddar,Production,50.06
1960,Fromage cheddar,Total utilisations,48.59
1960,Fromage cheddar,Disparition intérieure exprimée,22.94
1960,Fromage cheddar,Exportations,8.42
1960,Fromage cheddar,Utilisation industrielle,17.23
1960,Fromage cheddar,Stocks à la fin,25.3
1960,Fromage fondu,Total des ressources,26.89
1960,Fromage fondu,Stocks au début,1.62
1960,Fromage fondu,Production,25.27
1960,Fromage fondu,Total utilisations,25.11
1960,Fromage fondu,Disparition intérieure exprimée,25.03
1960,Fromage fondu,Exportations,0.08
1960,Fromage fondu,Stocks à la fin,1.78
1960,Fromages de spécialité,Total des ressources,13.04
1960,Fromages de spécialité,Stocks au début,1.46
1960,Fromages de spécialité,Production,5.61
1960,Fromages de spécialité,Importations,5.97
1960,Fromages de spécialité,Total utilisations,11.06
1960,Fromages de spécialité,Disparition intérieure exprimée,10.33
1960,Fromages de spécialité,Exportations,0.02
1960,Fromages de spécialité,Utilisation industrielle,0.71
1960,Fromages de spécialité,Stocks à la fin,1.98
1960,Fromage cottage,Total des ressources,10.13
1960,Fromage cottage,Production,10.13
1960,Fromage cottage,Total utilisations,10.13
1960,Fromage cottage,Disparition intérieure exprimée,10.13
1960,Poudre de lait écrémé,Total des ressources,87.95
1960,Poudre de lait écrémé,Stocks au début,9.95
1960,Poudre de lait écrémé,Production,78
1960,Poudre de lait écrémé,Total utilisations,77.42
1960,Poudre de lait écrémé,Disparition intérieure exprimée,55.65
1960,Poudre de lait écrémé,Exportations,21.77
1960,Poudre de lait écrémé,Stocks à la fin,10.53
1960,Poudre de babeurre,Total des ressources,4.02
1960,Poudre de babeurre,Stocks au début,0.31
1960,Poudre de babeurre,Production,3.71
1960,Poudre de babeurre,Total utilisations,3.51
1960,Poudre de babeurre,Disparition intérieure exprimée,3.51
1960,Poudre de babeurre,Stocks à la fin,0.51
1960,Poudre de lactosérum,Total des ressources,7.14
1960,Poudre de lactosérum,Stocks au début,2.13
