"PÉRIODE DE RÉFÉRENCE","GÉO","VALEUR"
"Jan-46","Canada","12188000"
"Apr-46","Canada","12241000"
"Jul-46","Canada","12316000"
"Oct-46","Canada","12393000"
"Jan-47","Canada","12450000"
"Apr-47","Canada","12507000"
"Jul-47","Canada","12576000"
"Oct-47","Canada","12646000"
"Jan-48","Canada","12710000"
"Apr-48","Canada","12773000"
"Jul-48","Canada","12852000"
"Oct-48","Canada","12930000"
"Jan-49","Canada","12998000"
"Apr-49","Canada","13399000"
"Jul-49","Canada","13475000"
"Oct-49","Canada","13548000"
"Jan-50","Canada","13607000"
"Apr-50","Canada","13663000"
"Jul-50","Canada","13737000"
"Oct-50","Canada","13807000"
"Jan-51","Canada","13870000"
"Apr-51","Canada","13937000"
"Jul-51","Canada","14050000"
"Jul-51","Terre-Neuve-et-Labrador","362000"
"Jul-51","Île-du-Prince-Édouard","99000"
"Jul-51","Nouvelle-Écosse","643000"
"Jul-51","Nouveau-Brunswick","517000"
"Jul-51","Québec","4066000"
"Jul-51","Ontario","4615000"
"Jul-51","Manitoba","778000"
"Jul-51","Saskatchewan","834000"
"Jul-51","Alberta","943000"
"Jul-51","Colombie-Britannique","1168000"
"Jul-51","Yukon","9000"
"Jul-51","Territoires du Nord-Ouest incluant Nunavut","16000"
"Oct-51","Canada","14163000"
"Oct-51","Terre-Neuve-et-Labrador","365000"
"Oct-51","Île-du-Prince-Édouard","99000"
"Oct-51","Nouvelle-Écosse","646000"
"Oct-51","Nouveau-Brunswick","519000"
"Oct-51","Québec","4095000"
"Oct-51","Ontario","4665000"
"Oct-51","Manitoba","784000"
"Oct-51","Saskatchewan","836000"
"Oct-51","Alberta","950000"
"Oct-51","Colombie-Britannique","1179000"
"Oct-51","Yukon","9000"
"Oct-51","Territoires du Nord-Ouest incluant Nunavut","16000"
"Jan-52","Canada","14277000"
"Jan-52","Terre-Neuve-et-Labrador","368000"
"Jan-52","Île-du-Prince-Édouard","100000"
"Jan-52","Nouvelle-Écosse","647000"
"Jan-52","Nouveau-Brunswick","521000"
"Jan-52","Québec","4126000"
"Jan-52","Ontario","4717000"
"Jan-52","Manitoba","789000"
"Jan-52","Saskatchewan","836000"
"Jan-52","Alberta","959000"
"Jan-52","Colombie-Britannique","1189000"
"Jan-52","Yukon","9000"
